year,sponsor_party,not passed,passed,pct_passed,pct_not_passed,not_passed_year,passed_year,
2022,Democrat,1568,150,8.73,91.27,66.7,6.4,73.0
2022,Republican,625,9,1.42,98.58,26.6,0.4,27.0
2023,Democrat,1069,605,36.14,63.86,50.0,28.3,78.2
2023,Republican,343,123,26.39,73.61,16.0,5.7,21.8
2024,Democrat,1128,814,41.92,58.08,45.4,32.7,78.1
2024,Republican,413,131,24.08,75.92,16.6,5.3,21.9
2025,Democrat,1748,108,5.82,94.18,71.4,4.4,75.8
2025,Republican,558,34,5.74,94.26,22.8,1.4,24.2
2026,Democrat,1224,687,35.95,64.05,48.8,27.4,76.3
2026,Republican,465,130,21.85,78.15,18.6,5.2,23.7
,,,,,,,,
,,,,,,,,
,,,,,,,,
,Democrat,6737,2364,25.98,,,,
,Republican,2404,427,15.08,,,,
