Republican Name,Age,,Democrat Name,Age,,
Jack Bailey,60,,Gabriel Acevero,35,,Ages in bold are estimations
Mary Beth Carozza,65,,Jackie Addison,63,,
Paul D. Corderman,48,,Nick Allen,36,,
William G. Folden,54,,Tiffany T. Alston,49,,
Jason C. Gallion,49,,Marlon Amprey,39,,
"Stephen S. Hershey, Jr.",62,,Heather Bagnall,52,,
J.B. Jennings,52,,Ben Barnes,51,,
Johnny Mautz,55,,Sandy J. Bartlett,60,,
Mike McKay,57,,Dylan Behler,27,,
Justin Ready,44,,Harry Bhandari,48,,
Johnny Ray Salling,64,,Adrian Boafo,31,,
Bryan W. Simonaire,62,,Regina T. Boyce,49,,
Chris West,76,,Jon S. Cardin,56,,
Christopher T. Adams,53,,Mark S. Chang,49,,
H. Kevin Anderson,58,,Lorig Charkoudian,53,,
Steven J. Arentz,75,,Luke Clippinger,53,,
Lauren Arikan,41,,Derrick Coley,51,,
Terry L. Baker,70,,Frank M. Conaway Jr.,63,,
Barry Beauchamp,64,,Brian M. Crosby,43,,
Christopher Eric Bouchat,58,,Charlotte Crutchfield,62,,
Jason C. Buckel,54,,Bonnie Cullison,72,,
Brian Chisholm,55,,Debra Davis,66,,
Barrie S. Ciliberti,89,,Eric Ebersole,67,,
Mark N. Fisher,63,,Mark Edelson,41,,
Jefferson L. Ghrist,51,,Elizabeth Embry,49,,
"Robin L. Grammer, Jr.",45,,Kris Fair,41,,
Mike Griffith,47,,Jessica Feldmark,51,,
Wayne A. Hartman,58,,Diana M. Fennell,58,,
"Jim Hinebaugh, Jr.",79,,Linda Foley,71,,
Kevin B. Hornberger,44,,Catherine M. Forbes,60,,
Seth A. Howard,52,,David Fraser-Hidalgo,56,,
Thomas S. Hutchinson,60,,Michele Guyton,59,,
Jay A. Jacobs,73,,Pam Lanman Guzzone,63,,
Nicholaus R. Kipke,47,,Andrea Fletcher Harrison,62,,
Robert B. Long,69,,Anne Healey,75,,
Nino Mangione,39,,Terri L. Hill,67,,
Susan K. McComas,75,,"Marvin E. Holmes, Jr.",77,,
Ric Metzgar,72,,Julian Ivey,30,,
April Miller,55,,"Andre V. Johnson, Jr.",54,,
Matthew Morgan,53,,Steve Johnson,65,,
Todd B. Morgan,70,,Adrienne A. Jones,71,,
Ryan Nawrocki,42,,Dana Jones,49,,
LaToya Nkongolo,47,,Anne R. Kaiser,58,,
Jesse T. Pippy,43,,Aaron M. Kaufman,39,,
Teresa E. Reilly,67,,Kenneth Kerr,69,,
April Rose,58,,Marc Korman,44,,
"Stuart Michael Schmidt, Jr.",NA,,Mary A. Lehman,62,,
Joshua J. Stonko,33,,Robbyn Lewis,62,,
Kathy Szeliga,64,,"Jeffrie E. Long, Jr.",29,,
Chris Tomlinson,39,,Lesley J. Lopez,42,,
William Valentine,55,,Ashanti Martinez,30,,
William J. Wivell,61,,Aletheia McCaskill,54,,
,,,Bernice Mireku-North,44,,
,57.37254902,,David Moon,47,,
,,,Gabriel M. Moreno,41,,
,,,Darrell Odom,72,,
,,,Julie Palakovich Carr,43,,
,,,Cheryl E. Pasteur,76,,
,,,Edith J. Patterson,80,,
,,,Joseline Pena-Melnyk,59,,
,,,N. Scott Phillips,65,,
,,,Andrew C. Pruski,47,,
,,,Lily Qi,62,,
,,,Pam Queen,65,,
,,,Kent Roberson,37,,
,,,Denise Roberts,52,,
,,,Mike Rogers,62,,
,,,Samuel I. Rosenberg,76,,
,,,Kim Ross,NA,,
,,,Malcolm P. Ruff,42,,
,,,Sheila Ruth,62,,
,,,Sheree Sample-Hughes,48,,
,,,Matthew J. Schindler,42,,
,,,Emily Shetty,42,,
,,,Gary Simmons,54,,
,,,Karen Simpson,58,,
,,,Stephanie Smith,44,,
,,,Jared Solomon,41,,
,,,Ryan Spiegel,47,,
,,,Dana Stein,67,,
,,,Vaughn Stewart,37,,
